ExpCode,Participant,CFS_Cover,WithCatch,CFS.congruent.aligned,CFS.congruent.misaligned,CFS.incongruent.aligned,CFS.incongruent.misaligned,monocular.congruent.aligned,monocular.congruent.misaligned,monocular.incongruent.aligned,monocular.incongruent.misaligned,CFS.inter,monocular.inter
E3,1101,test,0,1042.82057616223,1181.3982732755107,1319.6015004358642,1104.5410076194225,773.9733653653857,760.778470228271,840.2427067574371,971.4996962680552,-353.63818992972233,144.45188464773287
E3,1102,test,0,800.6452975390338,809.4446484031832,895.8203355526431,819.2520002120191,643.5405616589377,676.3461291763097,662.5549239905569,656.9750285958876,-85.36768620477346,-38.38546291204125
E3,1103,test,0,750.8702563245108,727.4580136370886,722.1195956805184,742.6890916802365,630.1193739126446,677.4794785595516,632.632155212434,680.9549237699304,43.981738687140364,0.9626639105894128
E3,1104,test,0,762.8310959683411,757.6116832805766,812.6511554145264,754.7678451659476,771.7668335723653,736.9592529706276,817.4392247498062,777.7945011739065,-52.66389756081435,-4.83714297416202
E3,1105,test,0,647.0958296180273,665.5092889891953,665.8336699809396,650.6934787648664,740.9543217564931,698.4306897124175,760.0137513567756,754.0686015718843,-33.55365058724112,36.578482259184284
E3,1106,test,0,719.5716365601279,743.1524217279676,742.2520818069247,718.7501782046595,930.6196936214452,997.8613463452907,947.2642077208234,975.3390586228444,-47.08268877010494,-39.16680182182449
E3,1108,test,0,670.7684929349997,630.3451178431579,657.3297284651538,660.9633285427524,630.6384575486111,619.7870781406843,692.1564035924472,633.2498118987296,44.05697516944031,-48.055212285790844
E3,1109,test,0,800.0134147558829,827.2325316211304,849.8052320134034,804.7861387964491,682.8466569278603,728.0584506410297,671.6855160619345,656.3095963463942,-72.23821008220182,-60.587713428709776
E3,1110,test,0,507.5359045510961,550.1305357246504,518.9090329730702,519.2286308578575,553.3931621955707,572.220077778454,620.6324449335955,555.6777078374437,-42.27503328876696,-83.78165267903512
E3,1111,test,0,768.8629643536144,753.0241504436009,819.2150626030849,771.050428122038,743.6816332016489,654.121272714069,759.6795496221648,702.534659053064,-32.32582057103332,32.41546991847906
E3,1112,test,0,446.03671298385314,453.5330762945043,465.97676930588415,461.4664805845857,460.5180853022391,442.66832237973097,503.9218028323953,457.5191118477039,-12.006652031949614,-28.55292806218324
E3,1113,test,0,914.1292095875569,910.870580124105,1002.2097472729134,950.6860497636086,870.2968863080372,881.9476937465984,913.0949716937727,906.8818120118445,-48.2650680458529,-17.863967120489292
E3,1114,test,0,496.6297629229328,476.3300093095433,495.4504813849513,453.5882488012183,521.7165617382922,503.10142079917466,575.3898404517323,515.8042909342577,-21.562478970343477,-40.97040857835714
E3,1115,test,0,783.6791920006305,798.1528297302799,836.257737446835,860.6099067524506,703.859080180106,712.921657179582,685.9290440465444,706.5940770453382,9.878531575966122,11.60245599931784
E3,1116,test,0,692.0209826868553,681.9063067089184,670.4032579299104,662.1052306480261,677.8307312176229,713.2414099804997,667.6802867625862,696.8127186916377,1.8166486960526527,-6.278246833825392
E3,1118,test,0,742.0267759765678,714.1839010491659,715.1366005112322,717.6179420183878,814.2426564190201,836.4340395139725,890.7855584682536,829.6560229665221,30.324216434557457,-83.3209185966839
E3,1119,test,0,635.2370249969397,615.1386862067886,577.6299654538478,603.0867759240914,575.8287643672052,516.0084983720233,581.4640904540753,508.7267373057821,45.555149260394614,-12.91708715311131
E3,1120,test,0,478.20116547168453,476.8349212306613,481.28128924571797,448.8820307496349,538.6191111330212,508.01145454355924,555.9401781339731,526.2578520201942,-31.03301425505981,0.9253304756830403
E3,1121,test,0,637.1418965738095,653.4533352409946,713.880564505713,629.4019404286444,592.3760499079384,605.2474460060398,621.7199054584866,624.8686578297513,-100.79006274425376,-9.722643726836623
E3,1122,test,0,695.7058654635589,745.6220551784276,717.4420001234696,747.9724871147936,565.6120103275358,553.5726799408494,590.7652702920279,564.610261957505,-19.385702723544682,-14.115677947836502
E4,1205,test,1,536.4117643830399,583.1442906077946,552.1656663092144,614.8916455173631,556.6470495655444,488.21650346443136,536.1234367106301,551.2696983679809,15.993452983394036,83.57680775846387
E4,1206,test,1,923.8696224952583,1120.8942749492242,1017.5655191002623,1117.8590622657339,848.5380504365191,828.7128947604252,893.1837577266475,819.1759346207344,-96.73110928849428,-54.18266742981916
E4,1207,test,1,826.5734670348,766.8968662829997,847.6838855866815,834.8738764768865,839.8268231895443,797.4220386690132,941.2294244046606,837.7733411126427,46.866591642005346,-61.05129877148681
E4,1208,test,1,653.3659967750888,632.9978119452628,704.1787366402926,653.8849595170722,717.1998291172008,682.181794629192,716.6936404246619,681.5746310352744,-29.925592293394516,-0.10097490137877685
E4,1209,test,1,762.6493227469591,738.4444456896712,781.2074282147988,817.7089325924424,618.3861235565382,641.5405340918835,626.9311777901657,640.9866148151284,60.70638143493147,-9.09897351038262
E4,1210,test,1,831.6142553840448,836.7459192907032,870.5193201440295,888.0854421746661,840.1413402683381,917.3456108338235,815.438401875944,902.9757996718174,12.434458123978175,10.333127230388072
E4,1211,test,1,601.8393963207512,624.8629043071181,735.0838179911536,627.7554703318132,528.9333367603618,506.28392328616866,568.5051091718699,531.6963667688565,-130.35185564570736,-14.15932892882023
E4,1212,test,1,643.7163777555786,651.1528177991162,633.5819647841812,616.1566547070835,680.725387331491,651.7028136898742,806.9803764001646,723.5103921038502,-24.861750120635293,-54.44741065469759
E4,1214,test,1,663.0000466570523,629.9845337753619,644.0271720307097,677.8131730562718,714.5902551033456,755.80364743376,763.3398001092082,753.1484365179779,66.80151390725246,-51.40475592164478
